name:es_aa,name:es_var,type_var,2014
Bahamas,Es...Biofuels production,ind,0.0
Bahamas,Es...Growth rate biofuels production,ind,0.0
Bahamas,Es...Average electricity spot prices,ind,0.0
Bahamas,Es...Average retail electricity prices,ind,0.144
Bahamas,Es...Average residential electricity prices,ind,0.0
Bahamas,Es...Average commercial electricity prices,ind,0.0
Bahamas,Es...Average industrial electricity prices,ind,0.0
Bahamas,Es...Average kerosene prices,ind,0.0
Bahamas,Es...Average diesel prices,ind,0.0
Bahamas,Es...Growth rate of power demand,ind,0.0
Bahamas,Es...Electrification rate,ind,0.002
Bahamas,Es...Population using solid fuels for cooking,ind,0.0
Bahamas,Financiamiento y Inversión,param,0.64
Bahamas,Es...Clean energy investments,ind,0.0
Bahamas,Es...Growth rate of clean energy investments,ind,0.0
Bahamas,Es...Asset finance investments,ind,0.0
Bahamas,Es...Corporate finance investments,ind,0.0
Bahamas,Es...VC/PE investments,ind,0.0
Bahamas,"Es...Loans, grants, grant programs",ind,0.0
Bahamas,Es...Local investments,ind,0.0
Bahamas,Es...Number of Green MFI,ind,0.0
Bahamas,Es...Green micro-loans,ind,0.0
Bahamas,Es...Green micro-borrowers,ind,0.0
Bahamas,Es...Average cost of green micro debt,ind,0.0
Bahamas,Es...Average cost of debt,ind,0.114
Bahamas,Es...Swap rate,ind,0.078
Bahamas,Cadenas de valor,param,0.576
Bahamas,Es...Financial institutions in clean energy,ind,0.038
Bahamas,Es...Value chains by clean energy sector,ind,0.039
Bahamas,Es...Distributed clean energy value chains by sector,ind,0.0
Bahamas,Es...Clean energy service providers,ind,0.009
Bahamas,Es...Distributed clean energy service providers,ind,0.0
Bahamas,Gestión de GEI,param,0.417
Bahamas,Es...Carbon offsets historical activity,ind,0.0
Bahamas,Es...CDM risk,ind,0.025
Bahamas,Es...Carbon offsets future potential,ind,0.0
Bahamas,Es...GHG emissions reduction target,ind,0.0
Bahamas,Es...GHG country registry,ind,0.0
Bahamas,Es...GHG market-based instruments,ind,0.0
Bahamas,Es...PMR & NAMA,ind,0.0
Bahamas,Es...Voluntary GHG reporting by corporates,ind,0.0
Bahamas,Es...Investor pressure – PRI signatories,ind,0.0
Bahamas,Es...Corporate energy efficiency initiatives,ind,0.0
Bahamas,Es...Corporate emission reduction policies,ind,0.0
Bahamas,Es...Capacity building – env. business training,ind,0.0
Bahamas,Es...Capacity building – think tanks,ind,0.038
Bahamas,Es...Global rank,rank,52.0
Bahamas,Es...Regional rank,rank,24.0
Botsuana,Puntaje,score,0.614
Botsuana,Marco Propicio,param,0.749
Botsuana,Es...Clean energy policies,ind,0.063
Botsuana,Es...Power sector structure,ind,0.089
Botsuana,Es...Distributed energy regulatory framework,ind,0.056
Botsuana,Es...Clean energy rural electrification,ind,0.1
Botsuana,Es...Energy access policies,ind,0.1
Botsuana,Es...Policy barriers,ind,0.057
Botsuana,Es...Clean energy installed capacity,ind,0.003
Botsuana,Es...Growth rate of installed capacity,ind,0.0
Botsuana,Es...Clean energy electricity generation,ind,0.002
Botsuana,Es...Growth rate of electricity generation,ind,0.0
Botsuana,Es...Biofuels production,ind,0.003
Botsuana,Es...Growth rate biofuels production,ind,0.0
Botsuana,Es...Average electricity spot prices,ind,0.0
Botsuana,Es...Average retail electricity prices,ind,0.112
